CustomerID,FirstName,LastName,Gender,Age,City,Province,SignupDate
C0001,Themba,Pillay,Male,26,Gqeberha,Eastern Cape,2025-01-29
C0002,Layla,Dlamini,Female,20,Secunda,Mpumalanga,2025-01-28
C0003,Amara,Smith,Male,53,Pretoria,Gauteng,2023-08-27
C0004,Mia,Smith,Female,69,Centurion,Gauteng,2023-08-14
C0005,Nandi,Nkosi,Female,27,Polokwane,Limpopo,2024-12-15
C0006,Oliver,Khumalo,Male,40,Soweto,Gauteng,2023-04-15
C0007,Noah,Patel,Female,52,Tzaneen,Limpopo,2023-09-28
C0008,Layla,Mthembu,Female,54,Centurion,Gauteng,2023-03-22
C0009,Aiden,Govender,Female,23,Johannesburg,Gauteng,2023-02-16
C0010,Themba,Ndlovu,Female,28,Polokwane,Limpopo,2024-01-25
C0011,Themba,Patel,Male,56,Pietermaritzburg,KwaZulu-Natal,2024-11-17
C0012,Aiden,Naidoo,Female,42,Mthatha,Eastern Cape,2025-01-16
C0013,Thando,Peters,Male,32,Pretoria,Gauteng,2024-12-02
C0014,Themba,Dlamini,Male,54,Thohoyandou,Limpopo,2024-02-15
C0015,Emma,Khumalo,Female,27,Welkom,Free State,2023-08-06
C0016,Layla,Jacobs,Female,65,Pretoria,Gauteng,2025-02-01
C0017,Aiden,Naidoo,Female,23,Paarl,Western Cape,2024-01-06
C0018,Lucas,Govender,Female,56,Mbombela,Mpumalanga,2023-06-06
C0019,Mia,Jacobs,Female,53,Centurion,Gauteng,2024-09-02
C0020,Ethan,Williams,Female,67,Polokwane,Limpopo,2024-11-27
C0021,Nandi,Naidoo,Female,18,Gqeberha,Eastern Cape,2023-10-28
C0022,Lucas,Jacobs,Male,58,Mahikeng,North West,2024-05-27
C0023,Aisha,Govender,Male,52,Pretoria,Gauteng,2023-06-06
C0024,Thando,Ndlovu,Male,25,Rustenburg,North West,2024-09-05
C0025,Noah,Pillay,Male,23,Mahikeng,North West,2023-09-03
C0026,Layla,Govender,Male,26,Mbombela,Mpumalanga,2025-02-17
C0027,Themba,Jacobs,Female,31,Mthatha,Eastern Cape,2023-06-19
C0028,Sipho,Khumalo,Female,46,Rustenburg,North West,2024-12-31
C0029,Aiden,Pillay,Male,39,Welkom,Free State,2023-05-04
C0030,Aiden,Mokoena,Male,63,Pretoria,Gauteng,2024-08-25
C0031,Noah,Peters,Female,22,Gqeberha,Eastern Cape,2023-03-11
C0032,Emma,Pillay,Male,64,George,Western Cape,2024-11-16
C0033,Emma,Govender,Female,30,Mahikeng,North West,2023-09-06
C0034,Nandi,Khumalo,Female,64,Centurion,Gauteng,2023-12-29
C0035,Zanele,Patel,Female,69,Johannesburg,Gauteng,2023-03-04
C0036,James,Jacobs,Female,26,Polokwane,Limpopo,2023-07-16
C0037,Aiden,Peters,Male,46,Umhlanga,KwaZulu-Natal,2024-04-18
C0038,Noah,Williams,Male,23,Tzaneen,Limpopo,2023-04-11
C0039,Nandi,Ndlovu,Female,31,Rustenburg,North West,2023-06-20
C0040,Zanele,Mokoena,Female,34,Polokwane,Limpopo,2023-06-18
C0041,Nandi,Patel,Female,27,Mahikeng,North West,2023-10-20
C0042,Sofia,Patel,Male,65,Pretoria,Gauteng,2023-03-01
C0043,Emma,Jacobs,Male,21,Durban,KwaZulu-Natal,2024-08-21
C0044,Lucas,Dlamini,Male,61,Rustenburg,North West,2025-05-21
C0045,Sofia,Pillay,Male,57,Thohoyandou,Limpopo,2023-05-03
