OrderID,CustomerID,ProductID,OrderDate,Quantity,Discount,PaymentMethod,FirstName,LastName,Gender,Age,City,Province,SignupDate,ProductName,Category,UnitCost,UnitPrice,Revenue,Cost,Profit,ProfitMargin
O00001,C0912,P074,2025-05-06,2,0.0,PayFast,Themba,Smith,Male,21,Stellenbosch,Western Cape,2024-07-14,Data Science Book,Books,523.17,810.02,1620.04,1046.34,573.7,35.412705859114595
O00002,C0517,P028,2026-07-04,3,0.05,Card,Sipho,Mthembu,Female,69,Gqeberha,Eastern Cape,2023-08-31,Cookware Set,Home & Kitchen,509.63,659.33,1879.0905000000002,1528.8899999999999,350.2005000000004,18.63670217054476
O00003,C0717,P016,2026-02-19,1,0.1,Card,Aiden,Peters,Male,66,Durban,KwaZulu-Natal,2024-11-09,Mouse,Electronics,1950.08,3494.61,3145.1490000000003,1950.08,1195.0690000000004,37.99721412244699
O00004,C0441,P048,2025-11-15,2,0.05,PayFast,Liam,Patel,Male,46,East London,Eastern Cape,2024-02-10,Hair Dryer,Beauty,835.95,1064.66,2022.854,1671.9,350.95399999999995,17.349447859311642
O00005,C0613,P006,2024-08-30,1,0.1,EFT,Lucas,Nkosi,Male,18,Soweto,Gauteng,2024-10-08,Headphones,Electronics,2971.89,5204.6,4684.14,2971.89,1712.2500000000005,36.5542020520309
O00006,C0340,P049,2024-08-30,3,0.0,EFT,James,Govender,Male,39,Thohoyandou,Limpopo,2023-10-07,Perfume,Beauty,1759.53,2401.06,7203.18,5278.59,1924.5900000000001,26.718615944624457
O00007,C0300,P001,2024-04-09,1,0.2,Cash on Delivery,Zanele,Mthembu,Female,22,Mahikeng,North West,2023-09-08,Smartphone,Electronics,103.23,135.09,108.072,103.23,4.841999999999999,4.480346435709526
O00008,C0564,P076,2026-05-15,3,0.05,PayFast,Oliver,Mthembu,Female,30,Johannesburg,Gauteng,2024-03-13,Cookbook,Books,3629.82,5465.52,15576.732,10889.460000000001,4687.271999999999,30.091498011264488
O00009,C0494,P061,2025-11-17,2,0.0,EFT,James,Govender,Male,52,Johannesburg,Gauteng,2024-06-07,Dumbbell Set,Sports,240.52,317.71,635.42,481.04,154.37999999999994,24.295741399389374
O00010,C0565,P067,2026-02-02,2,0.0,Card,Sipho,Dlamini,Female,25,Pretoria,Gauteng,2023-06-24,Sports Bag,Sports,2959.55,4536.2,9072.4,5919.1,3153.2999999999993,34.75706538512411
O00011,C0286,P005,2024-02-06,2,0.1,EFT,Layla,Mthembu,Female,28,Durban,KwaZulu-Natal,2024-07-17,Headphones,Electronics,459.14,832.47,1498.4460000000001,918.28,580.1660000000002,38.71784502077487
O00012,C0368,P012,2026-07-15,2,0.1,Card,Amara,Mthembu,Male,70,Polokwane,Limpopo,2023-05-24,Smartwatch,Electronics,4037.21,6731.61,12116.898,8074.42,4042.477999999999,33.36231764928614
O00013,C0085,P001,2026-04-25,2,0.0,PayFast,Thando,Nkosi,Male,26,Gqeberha,Eastern Cape,2023-10-06,Smartphone,Electronics,103.23,135.09,270.18,206.46,63.72,23.58427714856762
O00014,C0049,P013,2024-11-10,2,0.15,PayFast,Aisha,Molefe,Male,33,George,Western Cape,2023-05-16,Keyboard,Electronics,1177.34,1801.53,3062.6009999999997,2354.68,707.9209999999998,23.115025430998028
O00015,C0252,P065,2024-10-03,1,0.1,EFT,Mia,Molefe,Male,45,Pretoria,Gauteng,2023-10-07,Fitness Tracker,Sports,2628.09,4743.41,4269.069,2628.09,1640.9790000000003,38.4388024648934
O00016,C0072,P036,2024-10-05,1,0.0,Card,Lucas,Smith,Female,43,Richards Bay,KwaZulu-Natal,2024-11-24,Jeans,Fashion,2233.52,3376.27,3376.27,2233.52,1142.75,33.846522938035164
O00017,C0098,P061,2025-02-23,2,0.0,PayFast,James,Ndlovu,Female,67,Johannesburg,Gauteng,2024-07-31,Dumbbell Set,Sports,240.52,317.71,635.42,481.04,154.37999999999994,24.295741399389374
O00018,C0815,P007,2025-09-17,2,0.0,Card,Layla,Ndlovu,Male,30,Centurion,Gauteng,2023-03-15,Monitor,Electronics,4279.68,6988.07,13976.14,8559.36,5416.779999999999,38.757339293968144
O00019,C0040,P043,2025-06-29,2,0.15,EFT,Zanele,Mokoena,Female,34,Polokwane,Limpopo,2023-06-18,Watch,Fashion,1832.74,2986.2,5076.54,3665.48,1411.06,27.795703372769644
O00020,C0637,P014,2025-02-09,2,0.2,Card,Mia,Smith,Female,64,East London,Eastern Cape,2024-01-02,Keyboard,Electronics,4216.01,6885.88,11017.408000000001,8432.02,2585.388000000001,23.4663906428808
O00021,C0270,P004,2025-11-25,2,0.0,PayFast,James,Mthembu,Female,67,George,Western Cape,2023-02-07,Laptop,Electronics,909.2,1149.43,2298.86,1818.4,480.46000000000004,20.89992431031033
O00022,C0873,P057,2024-08-08,2,0.0,Card,Leah,Mthembu,Male,47,Soweto,Gauteng,2023-07-25,Running Shoes,Sports,1419.4,2228.97,4457.94,2838.8,1619.1399999999994,36.3203632170913
O00023,C0483,P042,2025-02-10,1,0.0,Card,James,Williams,Male,44,East London,Eastern Cape,2023-12-26,Backpack,Fashion,1647.19,2732.86,2732.86,1647.19,1085.67,39.72651361577249
O00024,C0303,P031,2025-04-28,2,0.15,Card,Layla,Dlamini,Female,33,Soweto,Gauteng,2024-06-11,Sneakers,Fashion,712.4,1164.2,1979.14,1424.8,554.3400000000001,28.009135280980637
O00025,C0509,P029,2025-07-21,1,0.05,Card,Aiden,Ndlovu,Female,55,Secunda,Mpumalanga,2024-09-29,Microwave,Home & Kitchen,2592.48,3630.4,3448.88,2592.48,856.4000000000001,24.8312495650762
O00026,C0387,P056,2026-03-26,1,0.2,EFT,Emma,Ndlovu,Male,64,Emalahleni,Mpumalanga,2025-01-10,Electric Shaver,Beauty,330.32,520.03,416.024,330.32,85.70400000000001,20.600734573005404
O00027,C0551,P050,2024-10-26,1,0.05,Card,Sofia,Dlamini,Female,27,Stellenbosch,Western Cape,2024-10-16,Perfume,Beauty,3146.68,5625.87,5344.576499999999,3146.68,2197.8964999999994,41.12386640924683
O00028,C0106,P046,2025-09-09,5,0.0,Card,Aiden,Peters,Male,35,Umhlanga,KwaZulu-Natal,2023-11-27,Skincare Set,Beauty,408.03,622.57,3112.8500000000004,2040.1499999999999,1072.7000000000005,34.460381965080245
O00029,C0998,P073,2025-11-10,1,0.0,PayFast,Sofia,Khumalo,Female,67,Johannesburg,Gauteng,2023-09-19,Data Science Book,Books,2680.14,4665.27,4665.27,2680.14,1985.1300000000006,42.55123497675377
O00030,C0428,P059,2024-03-21,1,0.1,Card,Mia,Smith,Female,55,Richards Bay,KwaZulu-Natal,2023-03-17,Yoga Mat,Sports,4481.46,5701.43,5131.287,4481.46,649.8270000000002,12.664015869702869
O00031,C0346,P038,2025-11-22,2,0.1,EFT,Noah,Williams,Male,47,Mthatha,Eastern Cape,2023-08-30,T-Shirt,Fashion,3544.95,5580.03,10044.054,7089.9,2954.1540000000005,29.411968513908832
O00032,C0702,P022,2024-09-19,2,0.05,Card,James,Patel,Female,31,Cape Town,Western Cape,2023-11-09,Toaster,Home & Kitchen,2010.56,3106.38,5902.122,4021.12,1881.0020000000004,31.869927459988123
O00033,C0366,P053,2024-04-20,3,0.05,PayFast,Leah,Williams,Male,33,Johannesburg,Gauteng,2024-04-02,Shampoo,Beauty,3322.19,4431.69,12630.316499999999,9966.57,2663.7464999999993,21.090100948776698
O00034,C0835,P076,2026-07-03,2,0.05,Card,Mason,Naidoo,Male,30,Johannesburg,Gauteng,2023-02-14,Cookbook,Books,3629.82,5465.52,10384.488000000001,7259.64,3124.848000000001,30.091498011264502
O00035,C0459,P055,2026-07-12,2,0.0,Card,Ethan,Govender,Male,31,Polokwane,Limpopo,2024-03-25,Electric Shaver,Beauty,2688.61,4149.98,8299.96,5377.22,2922.739999999999,35.21390464532358
O00036,C0714,P075,2026-04-10,1,0.2,PayFast,Sofia,Pillay,Male,53,Paarl,Western Cape,2025-02-26,Cookbook,Books,3606.33,4985.19,3988.152,3606.33,381.8220000000001,9.573907915244959
O00037,C0102,P074,2025-02-24,3,0.05,Card,Layla,Khumalo,Female,22,Kimberley,Northern Cape,2023-12-22,Data Science Book,Books,523.17,810.02,2308.557,1569.5099999999998,739.047,32.01337458854168
O00038,C0847,P061,2024-06-09,2,0.05,Card,Thando,Smith,Male,54,Richards Bay,KwaZulu-Natal,2025-04-25,Dumbbell Set,Sports,240.52,317.71,603.6489999999999,481.04,122.60899999999987,20.31130673619933
O00039,C0727,P051,2026-01-17,2,0.1,PayFast,Aiden,Khumalo,Female,64,Johannesburg,Gauteng,2024-11-07,Makeup Kit,Beauty,2856.25,4186.0,7534.8,5712.5,1822.3000000000002,24.185114402505707
O00040,C0205,P058,2025-07-07,2,0.0,Cash on Delivery,Ethan,Khumalo,Female,60,Mahikeng,North West,2024-11-17,Running Shoes,Sports,3762.41,5717.3,11434.6,7524.82,3909.7800000000007,34.19253843597503
O00041,C0135,P053,2024-07-15,4,0.0,Card,Mia,Molefe,Female,29,Emalahleni,Mpumalanga,2024-06-15,Shampoo,Beauty,3322.19,4431.69,17726.76,13288.76,4437.999999999998,25.035595901337853
